from,to,album title,primary genre,secondary genre,year of publishing,first grammy category,second grammy category,grammy year,number of grammys per album,number of grammy nominations per album
ojf,sy,Positions,3,,2020,4,,2022,0,1
ojf,trs,Positions,3,,2020,4,,2022,0,1
ojf,nam,Positions,3,,2020,4,,2022,0,1
ojf,tr,Positions,3,,2020,4,,2022,0,1
ojf,kod,Positions,3,,2020,4,,2022,0,1
ojf,ss,Positions,3,,2020,4,,2022,0,1
ojf,amj,Positions,3,,2020,4,,2022,0,1
ojf,ca,Positions,3,,2020,4,,2022,0,1
ojf,aj,Positions,3,,2020,4,,2022,0,1
ojf,tpa,Positions,3,,2020,4,,2022,0,1
ojf,lodt,Positions,3,,2020,4,,2022,0,1
ojf,jcy,Positions,3,,2020,4,,2022,0,1
typ,tb,Positions,3,,2020,4,,2022,0,1
typ,plj,Positions,3,,2020,4,,2022,0,1
typ,arg,Positions,3,,2020,4,,2022,0,1
typ,xv,Positions,3,,2020,4,,2022,0,1
typ,mrf,Positions,3,,2020,4,,2022,0,1
typ,mb,Positions,3,,2020,4,,2022,0,1
typ,jle,Positions,3,,2020,4,,2022,0,1
typ,st,Positions,3,,2020,4,,2022,0,1
typ,sy,Positions,3,,2020,4,,2022,0,1
typ,trs,Positions,3,,2020,4,,2022,0,1
typ,nam,Positions,3,,2020,4,,2022,0,1
typ,tr,Positions,3,,2020,4,,2022,0,1
typ,kod,Positions,3,,2020,4,,2022,0,1
typ,ss,Positions,3,,2020,4,,2022,0,1
typ,amj,Positions,3,,2020,4,,2022,0,1
typ,ca,Positions,3,,2020,4,,2022,0,1
typ,aj,Positions,3,,2020,4,,2022,0,1
typ,tpa,Positions,3,,2020,4,,2022,0,1
typ,lodt,Positions,3,,2020,4,,2022,0,1
typ,jcy,Positions,3,,2020,4,,2022,0,1
typ,ojf,Positions,3,,2020,4,,2022,0,1
kib,tb,Positions,3,,2020,4,,2022,0,1
kib,plj,Positions,3,,2020,4,,2022,0,1
kib,arg,Positions,3,,2020,4,,2022,0,1
kib,xv,Positions,3,,2020,4,,2022,0,1
kib,mrf,Positions,3,,2020,4,,2022,0,1
kib,mb,Positions,3,,2020,4,,2022,0,1
kib,jle,Positions,3,,2020,4,,2022,0,1
kib,st,Positions,3,,2020,4,,2022,0,1
kib,sy,Positions,3,,2020,4,,2022,0,1
kib,trs,Positions,3,,2020,4,,2022,0,1
kib,nam,Positions,3,,2020,4,,2022,0,1
kib,tr,Positions,3,,2020,4,,2022,0,1
kib,kod,Positions,3,,2020,4,,2022,0,1
kib,ss,Positions,3,,2020,4,,2022,0,1
kib,amj,Positions,3,,2020,4,,2022,0,1
kib,ca,Positions,3,,2020,4,,2022,0,1
kib,aj,Positions,3,,2020,4,,2022,0,1
kib,tpa,Positions,3,,2020,4,,2022,0,1
kib,lodt,Positions,3,,2020,4,,2022,0,1
kib,jcy,Positions,3,,2020,4,,2022,0,1
kib,ojf,Positions,3,,2020,4,,2022,0,1
